,AP 1,AP 2,AP 3,AP 4
360,187.04814822902983,186.97470440334064,187.06419434484042,187.04765838403546
361,187.4374465700304,187.42453991272396,187.64582884074161,187.65564324291245
362,188.2744855699121,188.17137124540625,188.26228494293855,188.37628905235943
363,181.04626134566945,181.084541142405,181.08821552705172,181.19880958553313
364,179.9119335351196,180.06293119255122,180.11995726038708,180.06410708562953
365,179.76625015849504,179.94376097339887,180.01845645520416,180.10621902556568
366,182.0293921175856,182.12407262945533,182.18094082981474,182.070746884423
367,185.84303748605726,185.76148066737755,185.77422274492574,186.02841875674721
368,187.15341526906698,187.2410343553678,187.26881452920884,187.292387248689
369,180.1397404383995,180.0978229352237,180.31903883043924,180.32249951841413
370,180.54441690051374,180.70437266487681,180.69566514925828,180.7329953254166
371,184.2201503972485,184.1502822564305,184.30614735194035,184.2103853588369
372,185.04200434790647,185.22888279259757,185.1977668796178,185.3406815774938
373,187.52279344811328,187.57740569549992,187.70660354165693,187.76867539211753
374,181.36982831319236,181.4961546831522,181.5403796960518,181.4127401273795
375,180.7672834643202,180.81654981095073,180.85677826991127,180.90691792458028
376,186.30009271216932,186.20729049333875,186.2621082961914,186.34811598481247
377,184.5829087750976,184.8180249109521,184.778500134762,184.69537717036064
378,182.53730749859102,182.62368924823943,182.65434377363067,182.75106027453012
379,184.31394285673247,184.5954959243585,184.3690823684401,184.58956935095512
380,187.07546788217937,187.18117592511203,187.0901860750289,187.17705255179408
381,185.48176649430158,185.50585894219876,185.6036854618253,185.6751756665749
382,182.0053444625025,182.2830053386631,182.1246320478342,182.2853958428209
383,190.579210398612,190.61417397161551,190.61413719412644,190.5063263501802
384,185.0075549498995,184.95198983056036,184.9964771020134,185.08472125751496
385,183.1310024650846,182.9884154094043,183.13997406965223,183.1820763468013
386,187.10817835186157,187.02993095321142,187.28674287156946,187.27437288776855
387,184.223301564754,184.1330416044425,184.19540091024874,184.19790219631568
388,186.1856782827962,186.09116329835217,186.28427556943893,186.24024102564636
389,181.91933483294653,182.16101982328735,182.11892864212132,182.1592387687997
390,187.68580285468758,187.80899165741266,187.7641501016276,188.046098515832
391,186.39603305483593,186.33489348794274,186.47874262829555,186.57201438089805
392,184.77175212997915,184.65748916743212,184.9780578776879,184.84400997831017
393,185.33007907507164,185.15663601764027,185.4031372897423,185.57390275187618
394,183.69552106586494,183.81216007031935,183.64184340312295,183.62892811285974
395,180.37447458797598,180.32197577996487,180.42565231490812,180.45869034894895
396,189.5214345998452,189.58965655731936,189.4389427738413,189.72348833148135
397,188.55360543978028,188.58761273945527,188.61955950405968,188.77306843380074
398,189.33363045042364,189.38967544725938,189.44014917761297,189.59088724603407
399,182.15590310284435,182.26283127760337,182.19218474067452,182.33251765776458
400,186.68783877691988,186.74860667036762,186.71539744500274,186.8003520860766
401,182.34626101327385,182.307300971838,182.45431713018752,182.58983878904246
402,186.34850258533453,186.52001499785888,186.3462159246062,186.43180291694625
403,181.15323065564286,180.98706340404794,181.03563852181856,180.8916444868737
404,185.61404954296916,185.5097238152648,185.42620294220228,185.52313367258785
405,189.27774447808284,189.28115919564357,189.34952458176394,189.41447618757593
406,183.26120845733303,183.57976264558113,183.3633399214632,183.3481076100611
407,186.13513569378807,186.1263115400002,186.10422110102945,186.15714829016724
408,183.95247601946696,184.00255492141616,184.05116609448146,184.02402693047088
409,181.13572087346515,181.150018500913,181.10326016341514,181.17959864463637
410,181.99791784991035,182.13405286949035,182.1559513867321,182.2147818124431
411,189.3206549033113,189.26477030612114,189.27843881941817,189.53436460752482
412,184.223301564754,184.1330416044425,184.19540091024874,184.19790219631568
413,183.9577846461053,184.09653832034235,184.1350379340945,184.32968556564265
414,185.56614828829544,185.90222477040106,185.8487752661074,185.8709688366148
415,190.50104944117217,190.46909667097918,190.5092186661086,190.6118056267619
416,184.83766785220374,184.9965247485186,184.98942525433927,185.17433437946875
417,183.51685970174253,183.65459272983196,183.55249742290857,183.56618760497486
418,185.6199187044555,185.7332414879604,185.68221007670695,185.75164776259498
419,185.7797046770249,185.91512831421653,185.79139479554055,186.01466114878758
420,187.37297671959328,187.43019426166325,187.59579226096412,187.6802774744192
421,183.2779501765667,183.3600946173617,183.32088015515524,183.3878932995176
422,185.91242152252553,186.16655221744907,185.91659405287874,186.09026119944883
423,181.02443294011215,181.03966188295226,181.00074123133686,181.18901747450627
424,185.16928266788202,185.14525808655753,185.16085181417134,185.36278330608638
425,186.14769203638969,186.23884866982633,186.27415331572547,186.4847273107598
426,185.61460575781726,185.70294595728103,185.8723983922821,185.71488433914556
427,182.97462709509136,182.9430362058498,183.1620878117178,183.0668310527417
428,179.93233011748356,179.79453393987126,179.86904538529984,180.02653908577622
429,188.40199835743712,188.39784375343447,188.55068210372247,188.66134157184024
430,183.11458062305695,183.17705068138025,183.2682998873929,183.37773768175794
431,190.50104944117217,190.46909667097918,190.5092186661086,190.6118056267619
432,180.84010682390203,180.78385646899267,181.0187935511658,180.99928893562492
433,182.84096356009425,182.98932032898438,182.9044328724235,182.96848154391728
434,185.59531254598213,185.83305670479888,185.8902978647816,185.9934168755276
435,190.4200486788204,190.38697597554074,190.41916555025045,190.42394822278038
436,184.2839954411146,184.33207846705284,184.55973767831892,184.3282756786234
437,188.05194954339126,187.97253095922065,187.98678255234404,188.19158428705487
438,182.45297143602076,182.4193203770618,182.5625665048001,182.58671949214659
439,181.011849405956,181.0319327633896,181.01491116847592,180.96530307713965
440,186.02077854263584,186.10204396456265,186.17776190808536,186.08319151852038
441,181.8392449776893,181.89404573947945,181.99555700032715,182.14302324176742
442,181.72296468082018,181.66129323073017,181.6690076360578,181.84174082616755
443,182.19699007878467,182.32060598049384,182.29782955215614,182.31681407524547
444,184.0433831055923,184.20383133114672,184.08057322509399,184.2229560671717
445,184.33712915319407,184.5413846474363,184.5859373851897,184.6519486731736
446,180.37447458797598,180.32197577996487,180.42565231490812,180.45869034894895
447,185.50973287948057,185.53747617532315,185.65832441079806,185.66528392621058
448,182.11270606912166,182.2538163172594,182.05416169364617,182.1238808076978
449,185.70791499922956,185.9928475951931,186.08235071402873,185.86981404795824
450,184.1504895264863,184.21765506451572,184.3259705891278,184.34288730205708
451,186.66928498836654,186.8762564163129,186.84783348690985,186.7910783187458
452,183.53872235277709,183.58493993628736,183.62463514232422,183.76615379590976
