gen1,gen2,gen3,gen4
"[0.10340414320325439, 0.2355429181702144, 0.17109415687290347, 0.20541883057446697, 0.3969997488375678, 0.5154191701811714, 0.9500834691278577, 0.6140134933333059, 0.5557165108418676, 0.1325109774811882]","[0.8413829413481444, 0.7633223091046801, 0.4315730226930979, 0.22248299048644818, 1.2588421115480213, 0.4739077804431308, 0.8848822095732338, 0.937592091281424, 0.9121967964037514, 0.30712594560332035]","[0.2055270456707438, 1.6882589684347433, 0.26776174027418387, 0.10125991027727799, 0.6467401367607548, 0.12818455586438798, 0.4343062837709498, 0.1257779492298207, 0.6484931220554734, 0.7470029109576558]","[0.6567142793318287, 0.3197630587291002, 0.46659447634502577, 0.14077812538058126, 0.31234464081366725, 0.8066870699123112, 0.30135382548175865, 0.26699127081147206, 0.7598610218580739, 0.7675074813296183]"
"[1.498501570647489, 0.6994522623807481, 0.8117114534428254, 0.1544378442007324, 1.149223385340381, 0.11141747070395434, 0.10303336336981922, 0.5021812692413472, 1.1728690169712905, 1.2809048149876634]","[0.13301021451513628, 1.086440945066168, 0.8031351382146634, 0.7149022299088894, 0.44291381807396085, 0.5932403119564676, 1.3683005422839223, 0.1995613181371491, 0.15083439021835104, 0.49987424420211235]","[1.444448626408263, 0.150052217038553, 1.1511991635631584, 0.20541883057446697, 0.3145361094182357, 0.6408457941019281, 0.5098917788979961, 1.9988472517641596, 0.6058520629828476, 0.2016504862428163]","[1.2053201861135021, 0.25134575104625173, 1.4059027727594986, 1.0613744152629747, 0.9623559664800738, 1.8583349626066785, 1.704250661069634, 0.45110633919616594, 0.27724328876272253, 1.31371154619918]"
"[0.6365051102647841, 0.486473621661581, 0.3279363778087766, 0.1679067734410966, 1.8470756002351605, 0.5932403119564676, 0.9938001673681505, 1.251057996601495, 0.6580696003623391, 1.0336595335057135]","[1.498501570647489, 0.7605350518882132, 0.8117114534428254, 0.1544378442007324, 0.9948600526458962, 0.12655619539605154, 0.110065013783774, 0.5027574832658003, 0.9422080171637724, 0.36990453727895634]","[0.13301021451513628, 0.5083692644646955, 0.8031351382146634, 0.7038512929955898, 0.33706601569808, 0.601685754985686, 1.3683005422839223, 0.1995613181371491, 0.15792694935184123, 0.49987424420211235]","[0.2700900571170289, 0.9839888111658787, 1.3477082796963324, 1.012963031861139, 0.29670914399106885, 0.5652827539148211, 0.3505359990937098, 0.17445063206898867, 0.33950186715475295, 0.46947266002160626]"
"[0.6567142793318287, 0.3197630587291002, 0.4175423213452293, 0.6672271181805667, 0.9054933691099049, 0.28256097279689374, 1.1731863636024162, 0.26699127081147206, 0.36956024501392476, 0.7906409005411348]","[0.704825026950296, 0.9698307166205411, 0.6306368421675873, 0.22530890389271, 0.5582539396909367, 0.24389727046317208, 0.3709751163922374, 1.0186852842440879, 1.1728690169712905, 1.2809048149876634]","[1.7254504269699533, 1.086440945066168, 1.4846036918500118, 1.265954468347879, 0.47291678649057034, 0.2737893412676157, 1.3514460806015642, 0.26699127081147206, 0.9990936919442523, 0.13943844585402368]","[0.2700900571170289, 0.3197630587291002, 1.3477082796963324, 0.1679067734410966, 0.30859341574549287, 0.5898919210802349, 0.3973189496582837, 0.29604182041597116, 0.3677772368729079, 0.46947266002160626]"
"[0.6646376059352787, 0.9634131260956216, 1.3477082796963324, 0.21631852773370877, 0.597278851896777, 0.1355957076128421, 1.794035708949971, 1.3784173237598563, 0.4467448272310547, 0.17681089158184904]","[0.888376731277941, 0.19378438787977698, 1.5687510727284821, 0.13585109296703252, 0.8123572566122537, 0.1922969871088771, 0.10301854437747197, 0.2637182683488224, 0.1386897869667754, 0.29203958473828373]","[0.4132916022573867, 0.6994522623807481, 0.7687059728949385, 1.564798850879551, 1.9122226504132667, 1.7058446982649527, 0.10303336336981922, 0.39980458570113725, 1.7834769249749558, 0.593985522544367]","[0.888376731277941, 0.44266164936080643, 1.5327373043409491, 0.6418359535644489, 0.7371821791620655, 0.14855885840500146, 0.3543880700367978, 1.1503858615242584, 0.4271550659370304, 0.5524659485672114]"
"[0.3129118502314553, 0.14759279359424568, 0.29036303066295055, 0.30906247907160656, 0.45899471769664385, 0.366261154547453, 0.17114590926941636, 0.4144542580850012, 0.6767676627885912, 1.0329761041609435]","[0.9831149057227107, 0.13373891959094028, 0.4717817487038548, 0.3029849303836744, 0.7473006791208794, 0.46579382053474844, 0.9885863036225355, 0.12080529722042349, 0.1801790897005666, 0.2990402139351875]","[0.44090052852071177, 0.10444623331649798, 0.6134867679177965, 0.5523140139723038, 0.41196446541840825, 0.10916168559384157, 1.2506349327671824, 0.8030160142049367, 0.254645199054228, 1.7066439054161575]","[0.888376731277941, 0.4066869252903743, 0.6244305485719825, 0.17073182126933484, 0.6972620459172842, 0.14855885840500146, 0.33765556174003486, 0.39980458570113725, 0.42429829443546, 0.43110586963464037]"
"[0.5720379896993495, 1.567470165998909, 0.30315275195043706, 1.8563324475991807, 0.9116962812893604, 0.32724387578076447, 0.9865986589094137, 0.2868539222161894, 0.1573984546199724, 0.10950527451082165]","[0.5841680605011076, 0.2232496053323312, 0.9747838171523105, 1.147424720347925, 0.22274049580125793, 1.0684445573720027, 0.1625723537033197, 0.33228366619321364, 0.817917574540219, 0.844896387484467]","[0.2700900571170289, 0.9634131260956216, 1.3477082796963324, 1.012963031861139, 0.29670914399106885, 0.5652827539148211, 0.3973189496582837, 0.17445063206898867, 0.33950186715475295, 0.46947266002160626]","[1.5638965383028114, 1.307821391217227, 1.0154477129152422, 1.6672495867624055, 0.7931538041778441, 0.3873008964915679, 1.4064115036270772, 1.701536544996034, 0.5927257438390197, 0.6044697252189066]"
"[1.590723673871025, 1.002490287378572, 0.57888726843153, 1.3043955644822596, 1.847572356972005, 0.4165411430636366, 1.2070862079735774, 0.9412419797983448, 0.47186162539488347, 1.301480323977207]","[0.11406089082565424, 0.11080890257298609, 0.9500709575019939, 0.128267754064797, 0.4701539598985564, 0.15359921264162107, 1.9489262483175833, 0.15718236620258264, 0.7025021540349222, 0.4824286145319]","[1.2053201861135021, 0.25134575104625173, 1.4059027727594986, 1.0613744152629747, 0.9623559664800738, 1.8583349626066785, 1.704250661069634, 0.45110633919616594, 0.27724328876272253, 1.31371154619918]","[0.5900290815850229, 0.3792660585179699, 1.3272310201551787, 0.24402617950160502, 0.3956762905459378, 0.13502453609014536, 1.0296122166238848, 0.19460474290836516, 0.21464838133784997, 0.1765584110006914]"
"[1.7374285786654582, 0.9592901469928773, 0.4315730226930979, 0.14595115336728617, 1.1274507920817194, 0.4516660101729519, 1.3683005422839223, 0.6236120121481383, 0.8253948448444738, 0.2815025005554221]","[0.6188068196825782, 0.6995663570653236, 0.43427021701334695, 0.21339726089906508, 0.3145303413288268, 1.5090101102924376, 0.9070227195807669, 1.056511797555204, 1.8010234873702295, 0.12251741048124891]","[0.7525602223052088, 0.10376114496696807, 1.7752234318581164, 0.5382574862655722, 1.4641343556864204, 1.6581624195843425, 1.3256282478070338, 0.8030160142049367, 0.28806844774288654, 0.12385696743366871]","[1.4856522216228782, 0.11080890257298609, 0.6602296810583409, 0.17073182126933484, 0.6467401367607548, 0.6356486446012629, 0.5098917788979961, 0.33228366619321364, 0.8882241480592252, 0.1927139035125561]"
"[1.273429007107677, 0.4256688171911932, 1.0161960997312804, 1.8069920873039986, 0.2345676810535248, 0.3925375624359778, 0.2576059818808905, 0.1897854550582633, 1.1778751710474158, 0.10403466859433344]","[0.8392839619146203, 0.1501900012214793, 0.6396650646389054, 0.29491295889576175, 0.5230375370979697, 0.4340696363473699, 0.42307853523700945, 0.7940427568445538, 0.9096018639247597, 1.5997067754741452]","[1.7500768221044107, 0.27578814872230184, 0.19671179009308298, 0.14027443548286245, 0.3986496365408647, 0.19891579793473876, 1.9385722365350697, 0.22874523646605274, 0.1461909081063557, 0.2105315310658634]","[0.6554238924741643, 0.44266164936080643, 0.6244305485719825, 0.14997141434702993, 0.6326814467926737, 0.13474135476895163, 1.807398555940542, 1.1503858615242584, 0.5892433041419468, 1.2540187084052268]"
"[0.13301021451513628, 1.086440945066168, 0.8031351382146634, 0.7149022299088894, 0.44291381807396085, 0.5932403119564676, 0.8848822095732338, 0.1995613181371491, 0.15083439021835104, 0.49987424420211235]","[1.037013791346741, 0.21780061993492358, 0.5365408227270948, 0.5994497388634107, 1.2960537091054363, 0.28256097279689374, 0.4481594823833403, 0.4909307817686788, 0.12886018145574846, 1.5212381019738812]","[0.6567142793318287, 0.3100398425740848, 0.3507836344422848, 0.1544378442007324, 0.987085461861107, 0.22691701208681125, 1.085594954686559, 0.5963786270294684, 0.36956024501392476, 1.2809048149876634]","[1.7796174017601956, 0.2721168921948588, 1.4153664298114963, 0.21631852773370877, 0.8881023533482235, 1.0870935918112716, 1.7221169731139911, 0.16159056740096034, 0.3171171072732092, 0.5258314740699916]"
"[0.6567142793318287, 0.3197630587291002, 0.3279363778087766, 0.1679067734410966, 1.8470756002351605, 0.8066870699123112, 1.1731863636024162, 0.26699127081147206, 0.6580696003623391, 1.0336595335057135]","[1.037013791346741, 0.221401002799737, 0.5365408227270948, 0.5994497388634107, 1.2960537091054363, 0.28256097279689374, 0.4481594823833403, 0.5044267970984266, 0.12945446651609652, 1.7066439054161575]","[1.498501570647489, 0.6994522623807481, 1.0622429926914676, 0.6672271181805667, 1.1514120328616348, 0.21008360726213313, 0.10303336336981922, 0.5021812692413472, 0.9121967964037514, 0.7906409005411348]","[0.6884898765390446, 0.10500147782169325, 0.47306374731675666, 0.7442687430021399, 0.44086992057353075, 1.8583349626066785, 1.6047176633618334, 0.20020823220307618, 0.1342898012798845, 0.49987424420211235]"
"[0.4810596063942972, 0.10178285689012193, 1.4812142108028263, 0.10963964688460179, 0.312866491488107, 0.4808622215063158, 1.1929827066054703, 0.24941187841683324, 0.22279497206083912, 0.8532813017016225]","[0.20464384423756476, 0.10500147782169325, 0.47306374731675666, 0.7442687430021399, 1.3090201262586618, 0.9316979255233874, 0.9949593009950326, 0.22550536025045356, 0.8744017093458628, 0.14900242279204307]","[1.3611812177828255, 1.507950165836455, 1.9354402950219158, 1.4477345040972351, 0.22274049580125793, 0.43277892045195626, 0.6609337965392028, 0.9119807942798208, 0.8947321190000516, 0.17371306499854153]","[0.44090052852071177, 0.10444623331649798, 0.619639858924662, 0.5523140139723038, 0.45219412983168167, 0.10916168559384157, 1.2506349327671824, 0.8030160142049367, 0.254645199054228, 0.5302079325082936]"
"[0.9577588482684116, 0.26767137381587164, 1.2357343728591754, 0.19175180638351014, 0.33618155165827845, 1.455648012052383, 0.151149607659218, 0.2596891078952184, 0.16754870007843517, 0.35510045724484685]","[1.0721339481157062, 0.5273058062175766, 0.9679158987574625, 0.5382574862655722, 0.3332741643773528, 1.6829040238510748, 0.21103939207527125, 0.17195691245274486, 0.5690412326421889, 0.5818047316341991]","[0.19352824991300752, 0.6157300169898968, 0.48550450666717715, 1.1247413741076049, 1.1617418479312722, 0.6883014191741907, 0.13848180973596824, 0.22537477541283457, 1.558733540202405, 0.711690090640681]","[1.7796174017601956, 0.2640396821759702, 1.4153664298114963, 0.21631852773370877, 0.8748142495768557, 1.8583349626066785, 1.7221169731139911, 0.16159056740096034, 0.27614134452471517, 1.7066439054161575]"
"[0.4132916022573867, 0.4172506148310087, 0.7687059728949385, 1.5481808636900298, 1.729768939066804, 0.10551244623396826, 0.3387264367095878, 0.39980458570113725, 1.7834769249749558, 0.593985522544367]","[0.6567142793318287, 0.27263247122676015, 0.3279363778087766, 0.1520208865590413, 1.8470756002351605, 0.8066870699123112, 1.596044249718204, 0.14646117414870943, 0.6580696003623391, 1.0336595335057135]","[0.6188068196825782, 0.1064973628639949, 0.42360476024153615, 0.7442687430021399, 0.3332741643773528, 0.9181998681831153, 0.42307853523700945, 0.22550536025045356, 0.8001721900888692, 0.1573985896938087]","[1.2487142730212537, 0.2987156696919617, 1.520302135976331, 1.0613744152629747, 0.7473006791208794, 0.1382744564172105, 1.6757544595406646, 0.17445063206898867, 0.21464838133784997, 1.31371154619918]"
"[0.7897155324051703, 0.7865511699519386, 1.074067564208881, 0.17073182126933484, 1.027082180104263, 0.31338670246844863, 1.3065383199824763, 0.1874286493083841, 1.1364921493513684, 0.18507450191778238]","[1.7254504269699533, 0.5083692644646955, 1.6571734463964214, 1.265954468347879, 0.33706601569808, 0.2472564683066332, 1.3514460806015642, 0.26699127081147206, 0.9412426686573346, 0.13943844585402368]","[0.5900290815850229, 0.36750590699540264, 1.0154477129152422, 0.24402617950160502, 0.7931538041778441, 0.13502453609014536, 1.0296122166238848, 0.19460474290836516, 0.21464838133784997, 0.1765584110006914]","[0.5900290815850229, 0.36750590699540264, 0.959034848639452, 0.23675268712591693, 1.548424645556885, 1.8583349626066785, 0.9298707832050838, 0.937592091281424, 0.3083349054817868, 0.1765584110006914]"
"[0.2174517345584441, 1.2236170661703392, 0.1574725057311779, 0.2946495077299249, 0.11230689882594731, 0.286363617670187, 0.18740637943093574, 0.18638663393306176, 0.9105505002124281, 0.2427722070959621]","[0.3859979822391728, 1.3965777809646993, 0.46392523559222976, 0.6158597223934799, 0.21974223953946925, 0.4236352049032964, 0.29111759608326515, 1.3784173237598563, 1.815342894233123, 1.3900877844888258]","[0.5900290815850229, 0.36750590699540264, 1.098775267130357, 0.7262975167492539, 0.25330113175478974, 0.9459638978407581, 1.0296122166238848, 0.5224817255723776, 0.2043940517206365, 0.15811785037592002]","[0.7973486171549641, 0.4403123540042534, 1.5327373043409491, 0.17073182126933484, 0.5859383960844943, 0.14855885840500146, 0.3543880700367978, 0.9720608283450943, 0.9121967964037514, 0.5375579079523587]"
"[0.7842981202084741, 0.3996695065448186, 1.36262889535224, 0.10883356133764874, 0.5577089581291996, 0.23580626826266113, 0.4434938110639394, 0.22733918861150254, 0.7391793945266777, 0.20896996403765386]","[0.3129118502314553, 0.9634131260956216, 1.3477082796963324, 0.21631852773370877, 0.597278851896777, 0.72944293905219, 0.17114590926941636, 0.16159056740096034, 0.4467448272310547, 0.17681089158184904]","[0.4096587656095319, 0.9698307166205411, 0.648710181713121, 0.2546750737282078, 0.6234964004585923, 0.26476025918475116, 0.32351787259295234, 0.9905170928592132, 0.15890176980271165, 0.7544141733133698]","[0.5900290815850229, 0.8440665368972584, 0.966230583365358, 0.22530890389271, 0.25330113175478974, 0.13944923022291686, 1.0296122166238848, 0.9929774644292299, 0.21464838133784997, 0.1765584110006914]"
"[1.2874918379989566, 0.4342201139078448, 0.9474264644508048, 0.3915314516519459, 1.3090201262586618, 1.6829040238510748, 0.21213790920514758, 0.17195691245274486, 0.5537313600825684, 0.11098584527108293]","[1.9156842204483377, 0.8653782043959374, 0.27269650201722895, 0.5296968417368966, 1.6530957236563675, 0.19297605632952874, 0.43301151756695, 0.9354932783500908, 1.1803492951062642, 0.5274011572690197]","[0.27870863693738485, 0.13843839785415724, 1.9042816947670413, 0.11108720964943233, 0.22593372082556912, 1.1587244059801551, 0.42597154549449107, 0.4909307817686788, 0.5000122115651687, 0.31977946811191016]","[0.5900290815850229, 0.43738778752886515, 1.0527407594049214, 0.27790553093229553, 0.2833659513111154, 0.13502453609014536, 0.2636546413950649, 0.1434831385351254, 0.24073500743239318, 0.1765584110006914]"
"[1.751054055903518, 0.8653782043959374, 0.8610146270713351, 0.5296968417368966, 1.6530957236563675, 0.3445804901288106, 0.43301151756695, 0.9354932783500908, 1.2051712742361265, 0.5274011572690197]","[0.12731358638885043, 0.22802642550410235, 0.8583638296010389, 0.9003069817412046, 1.018780748069911, 0.3445804901288106, 0.25647466431986493, 0.7095092079217435, 0.8215880365105468, 0.392558441915792]","[1.037013791346741, 0.20240327644210332, 0.5266862680813332, 0.5994497388634107, 0.25844326283653907, 0.3061384442690534, 0.4255879025032353, 0.8087446867215287, 0.12886018145574846, 1.9339930144079858]","[1.6894817229505619, 1.2359900057525743, 0.2478349969022484, 0.1756096573561131, 0.6064087716819119, 0.663774338103652, 1.1440169870652472, 0.7610450644840299, 1.2267406066162527, 1.978632315025514]"
"[0.62780381821331, 0.10444623331649798, 1.7752234318581164, 0.5382574862655722, 0.41196446541840825, 1.7583756518507232, 1.3191984255656595, 0.8030160142049367, 0.254645199054228, 0.12385696743366871]","[0.2100976143523525, 0.4342201139078448, 1.1008451085266562, 0.2358009212082996, 0.593019439100376, 0.44989592610160706, 0.555952476825647, 1.5811817625040003, 0.1166990370910573, 0.16246012067768587]","[0.5893918854404991, 0.6995663570653236, 0.3463006095470761, 0.21339726089906508, 0.3145303413288268, 1.5090101102924376, 0.9070227195807669, 1.056511797555204, 1.8010234873702295, 0.12251741048124891]","[0.5900290815850229, 0.8440665368972584, 0.9813421303656414, 0.2546750737282078, 0.5099300567933797, 0.13998009613418316, 1.0296122166238848, 0.4814591950795021, 0.22003736277979943, 0.1765584110006914]"
"[0.4331907923669044, 0.1597247044322947, 0.6134867679177965, 0.3298554391016253, 0.620480733047691, 0.36373393007768123, 0.2696726561480222, 0.17913300844329738, 1.2061116578517939, 1.7624865047064073]","[1.2874918379989566, 0.14313341818069455, 0.9079478661412442, 0.3915314516519459, 1.3175411546490226, 1.5713995360407462, 0.21213790920514758, 0.15569252177296392, 0.5343018183399202, 0.1276604326025376]","[0.888376731277941, 0.44266164936080643, 0.6244305485719825, 0.6418359535644489, 0.6326814467926737, 0.21008360726213313, 0.3724695806256637, 0.937592091281424, 0.4271550659370304, 0.41214279500217027]","[0.5900290815850229, 0.36750590699540264, 0.9813421303656414, 0.25483875704580644, 0.26450968138702435, 0.13944923022291686, 1.0296122166238848, 0.14766911486366532, 0.19397531942710922, 0.1765584110006914]"
"[1.0721339481157062, 0.4342201139078448, 0.9679158987574625, 0.5382574862655722, 1.3090201262586618, 1.6829040238510748, 0.21213790920514758, 0.17195691245274486, 0.553540873091707, 0.5274011572690197]","[0.5900290815850229, 0.8440665368972584, 0.9813421303656414, 0.2546750737282078, 0.25330113175478974, 0.13944923022291686, 1.0296122166238848, 0.4814591950795021, 0.21464838133784997, 0.1765584110006914]","[0.888376731277941, 0.17359650140395877, 0.7002303618637746, 0.3218292786319748, 0.8123572566122537, 0.46579382053474844, 0.3098353403833273, 0.2637182683488224, 1.0471808903798376, 0.12036906409140137]","[0.5900290815850229, 0.10444623331649798, 1.0622429926914676, 0.23675268712591693, 1.6648973526607145, 0.1377524054194711, 0.9298707832050838, 0.937592091281424, 0.21464838133784997, 1.7066439054161575]"
"[0.62780381821331, 0.10444623331649798, 0.6134867679177965, 0.4818524888686909, 0.41196446541840825, 1.7583756518507232, 1.3191984255656595, 0.8030160142049367, 0.254645199054228, 1.7624865047064073]","[0.6064696989922038, 0.36750590699540264, 0.4117173003196137, 0.2546750737282078, 1.0590412434043257, 0.16457627354535947, 0.1611835935267879, 0.4253859688079328, 0.14820329768261115, 0.3836300122147098]","[0.4331907923669044, 0.6919045160173206, 1.5687510727284821, 0.1415958671715156, 1.4641343556864204, 0.21789441533897758, 0.10301854437747197, 0.17913300844329738, 0.12980243136820396, 0.29203958473828373]","[0.44090052852071177, 0.36750590699540264, 0.6134867679177965, 0.5523140139723038, 0.41196446541840825, 0.11323757623719462, 1.2506349327671824, 0.8030160142049367, 0.254645199054228, 0.1765584110006914]"
"[0.8824315432953818, 0.4173250144986938, 1.60588437921523, 0.35191670792128826, 0.7090888186296856, 0.9859412784553934, 0.2134597876388496, 0.12366332807394186, 0.10834692179648678, 0.600104296123709]","[0.4132916022573867, 0.44266164936080643, 0.7828977367110669, 0.6766320416189119, 1.729768939066804, 0.10868104821580574, 0.3724695806256637, 1.1503858615242584, 1.102411725256651, 0.593985522544367]","[0.3129118502314553, 0.9634131260956216, 1.4574068851088597, 1.1744816490186036, 0.597278851896777, 0.72944293905219, 0.17114590926941636, 0.17445063206898867, 0.4467448272310547, 0.17681089158184904]","[1.7306520830468142, 0.25134575104625173, 1.476894770716231, 1.265954468347879, 0.8881023533482235, 1.8583349626066785, 1.7051768385305417, 0.26699127081147206, 0.27614134452471517, 0.6527632415162661]"
"[1.6135860289770882, 0.4438710805906677, 0.8278598997164628, 0.6303389185484246, 0.5660611178517662, 0.3306824208495822, 0.134192311841961, 1.3985693311117815, 0.9809260493347948, 0.1431034776689776]","[0.8442652470452031, 0.3602926705499775, 0.15595299888318673, 0.2610978941565311, 0.458651987391154, 0.619970342681893, 1.7988602152440292, 0.12860607849346256, 0.48135947498973086, 0.14584027167097802]","[1.7796174017601956, 0.2640396821759702, 1.4153664298114963, 0.21631852773370877, 0.8881023533482235, 1.8583349626066785, 1.7221169731139911, 0.16159056740096034, 0.27614134452471517, 0.5258314740699916]","[1.7254504269699533, 0.5006192525418467, 1.4153664298114963, 1.1744816490186036, 0.33706601569808, 0.5932403119564676, 1.3523499823521323, 0.2549556199683319, 0.9396139925624462, 0.13943844585402368]"
"[0.10385369626814053, 0.8562761343721212, 0.22633749421902027, 0.4256080163471707, 0.5099300567933797, 0.15384984199868332, 1.807398555940542, 0.33288383258344795, 0.2141958053657656, 0.7122156130441945]","[0.5764925545558907, 0.35001192575792434, 0.4117173003196137, 0.2712589339593268, 1.2705870208980563, 0.46579382053474844, 0.10301854437747197, 0.1398687153605154, 0.12813328489841508, 0.29203958473828373]","[0.5878357077696302, 0.6876130669962068, 0.6308739828161767, 0.10258282936359507, 1.4885961369593763, 0.14855885840500146, 0.4026372092826006, 1.1503858615242584, 0.3670476071357263, 0.41214279500217027]","[0.62780381821331, 0.5083692644646955, 1.8706195779017796, 0.7038512929955898, 0.37815028663531053, 0.2041305374787621, 1.3191984255656595, 0.8030160142049367, 0.254645199054228, 0.12385696743366871]"
"[1.2921972957106393, 1.0282658433915877, 0.26027638037400125, 0.12989415474109836, 0.18913822663303323, 0.11502253292329444, 0.24938044433327408, 0.2298302924111189, 0.4888901019112121, 0.38124030061178754]","[0.9278844511858654, 0.19378438787977698, 1.5309031130568767, 0.3019594318883925, 0.8123572566122537, 0.19584823806143178, 0.16224957001967863, 0.2637182683488224, 0.1386897869667754, 0.4776473480149272]","[0.24436715335147424, 0.4406725231088975, 1.3275166657869868, 0.6418359535644489, 0.3521043206720035, 0.12818455586438798, 0.5098917788979961, 0.12324492927153767, 0.8957246364568269, 0.7470029109576558]","[0.13301021451513628, 0.10444623331649798, 0.8031351382146634, 0.1387534652547636, 0.33706601569808, 0.601685754985686, 1.3683005422839223, 0.1995613181371491, 0.15792694935184123, 0.49987424420211235]"
"[0.2160568814329501, 0.6931394036993894, 0.498820473711462, 1.147424720347925, 0.22274049580125793, 0.46826436171001967, 0.6413677291703047, 0.2365955584454154, 1.0097084960380003, 0.844896387484467]","[0.27870863693738485, 0.13843839785415724, 1.9042816947670413, 0.11108720964943233, 0.22593372082556912, 1.1587244059801551, 0.42597154549449107, 0.8087446867215287, 0.5000122115651687, 0.31977946811191016]","[0.890009802295894, 0.36001556689901143, 0.15945488942259314, 0.6418359535644489, 1.6588573321934557, 0.8066870699123112, 1.1731863636024162, 0.2912544686480188, 0.6580696003623391, 0.8714269568729041]","[0.8352866965579531, 0.6995663570653236, 0.6396650646389054, 0.19527530892361472, 0.17174002854799386, 1.5090101102924376, 0.9949593009950326, 0.7940427568445538, 0.17881549581005649, 0.12251741048124891]"
"[0.1001674041510022, 0.682528221459745, 1.8087218669187677, 0.5558848091331231, 0.30235101758383026, 1.0240368127602963, 0.19751005262347016, 0.2824266058145401, 1.4444129289595782, 0.16825497938211742]","[1.2822147951776772, 1.5119653971626192, 1.1511991635631584, 0.6267585984533293, 0.6467401367607548, 0.7290651173353974, 0.4081754744329174, 1.8424648863351158, 0.1750073336597285, 0.1927139035125561]","[0.21135921092666038, 0.15645713954560045, 0.3279363778087766, 0.10258282936359507, 0.3521043206720035, 0.16241854940194553, 0.5009317478679205, 0.12324492927153767, 0.1328127093983225, 0.8055361707482939]","[0.20464384423756476, 1.126446639155391, 1.4293283171252475, 0.7333518446692491, 0.3036573910285935, 0.7444192216971263, 0.5019378450454708, 0.5139996853139714, 1.558733540202405, 0.3307641285185327]"
"[0.7973486171549641, 0.7633223091046801, 0.4315730226930979, 0.22248299048644818, 1.1274507920817194, 0.4255012842344385, 1.3683005422839223, 0.937592091281424, 0.9121967964037514, 0.30712594560332035]","[0.8352866965579531, 0.9932718975174167, 1.4293283171252475, 0.7333518446692491, 0.20232583939470228, 1.1713141592448568, 0.5019378450454708, 0.5678165747767526, 0.20436000605172988, 0.3408389310734572]","[1.4225610880302337, 1.1069934607118674, 0.3279363778087766, 0.1679067734410966, 0.6467401367607548, 0.5432084607858328, 0.8527203918917781, 0.26699127081147206, 0.7195287824270737, 0.9314839754150298]","[1.7647084472050278, 0.7236610844266905, 1.134639992746194, 0.15877121711678258, 1.6211363565236137, 0.17864097043263732, 1.9086862269751341, 0.19722856786705947, 0.31156454105875314, 0.20896996403765386]"
"[1.7374285786654582, 0.8981531759923146, 1.0622429926914676, 0.1500553275041402, 0.24851897855908603, 0.21008360726213313, 0.12998573597889898, 0.6236120121481383, 0.8253948448444738, 0.2667344818779543]","[1.4225610880302337, 1.3938314314606495, 1.9067669202979203, 0.2500695931726454, 0.5786999665093404, 0.6883014191741907, 1.9086862269751341, 1.8424648863351158, 1.3601596275239423, 0.1927139035125561]","[0.6567142793318287, 1.5119653971626192, 1.1511991635631584, 0.20541883057446697, 1.498862807900394, 0.7516837877324353, 0.39627109710733627, 1.952616567884474, 0.5557165108418676, 0.1927139035125561]","[1.328579777890178, 0.11080890257298609, 1.1511991635631584, 0.24919546016956753, 0.5229980099292554, 0.6883014191741907, 1.0398814662998326, 1.8424648863351158, 1.3601596275239423, 0.1927139035125561]"
"[0.44090052852071177, 0.10444623331649798, 0.6134867679177965, 0.5382574862655722, 0.41196446541840825, 1.7583756518507232, 1.3191984255656595, 0.8030160142049367, 0.254645199054228, 1.7624865047064073]","[1.3575474563452148, 0.8653782043959374, 0.8610146270713351, 0.5013823972655173, 1.6530957236563675, 0.3445804901288106, 0.43301151756695, 0.9354932783500908, 1.2051712742361265, 0.15687095986649388]","[0.6646376059352787, 0.11447712370417922, 1.5080404631606659, 0.45855552551130696, 0.45899471769664385, 0.3088750036506332, 1.5752951547570433, 1.8341269805009788, 0.712431174609586, 0.9423603929245299]","[0.8689157499697218, 0.44266164936080643, 0.5986362784781045, 0.6418359535644489, 0.6653631575057715, 0.21054814599592983, 0.41179533933349094, 0.937592091281424, 0.43254502824892455, 0.41214279500217027]"
"[0.6567142793318287, 0.3197630587291002, 0.3279363778087766, 0.1679067734410966, 1.498862807900394, 0.5932403119564676, 1.1731863636024162, 0.26699127081147206, 0.7195287824270737, 1.0336595335057135]","[0.11888175460641119, 1.9209168709122983, 0.23236529488940277, 1.8455612281569078, 0.37354964617945546, 0.20307779474876453, 1.0323511873773525, 0.19709528376952445, 0.4537219388502209, 0.5274011572690197]","[0.888376731277941, 0.3197630587291002, 0.3279363778087766, 0.1679067734410966, 1.8470756002351605, 0.8066870699123112, 1.2108499798234387, 0.26699127081147206, 0.1386897869667754, 0.9978820479306539]","[0.8945948541727419, 0.7630409832530616, 1.0232983637164914, 0.22248299048644818, 0.31020104288148875, 0.21008360726213313, 1.8917800419847906, 0.9813223884045179, 0.7830263625615346, 0.30847822411376546]"
