gen1,gen2,gen3,gen4,gen5,gen6,gen7,gen8,gen9,gen10,gen11,gen12,gen13,gen14,gen15,gen16,gen17,gen18,gen19,gen20,gen21,gen22,gen23,gen24
"[0.49636919895951065, 0.8137502074560693, 0.5543166369358156, 0.24713552145000936, 0.6989829412138127]","[0.24489728147908427, 5.724747304250667, 1.6802820605013427, 2.255300682617867, 1.3331329473783646]","[2.9063941905802873, 0.14654343705262227, 4.295476835828163, 0.5448157653923673, 1.5727865229759708]","[0.3176709602984479, 2.3617120237650764, 0.6817285585017536, 0.25230236489147123, 4.2382790134162915]","[0.9597492639887883, 0.14654343705262227, 0.1834711990679878, 0.21611890337171896, 3.5415206198804654]","[2.647897717743426, 5.568529624917298, 4.726764843256152, 0.20661210177491485, 0.7897671515809928]","[0.6094468899955091, 2.3617120237650764, 0.10327652754597307, 5.963667455238578, 2.257234174569211]","[1.135407892916384, 0.9670427917504799, 0.21950893040145852, 0.7018694722123491, 7.5419534457959525]","[2.30178301712348, 4.692271093904475, 3.049149096511554, 0.47388137339323766, 0.5238648088687204]","[0.24986586761410792, 0.8334358171615387, 0.2063461185637916, 0.7821275629159029, 2.086113463390497]","[0.47885545508715327, 0.5613543370064978, 0.136129507065782, 0.4764471196415181, 2.1972689359605853]","[0.9222538577547849, 0.8196477054929058, 0.11138814504881636, 0.20407145105542984, 1.523634647587703]","[2.3142392865813184, 0.9948646554741383, 0.11586219398688859, 0.12678961229830626, 0.7974798132434472]","[2.3142392865813184, 0.14009507803059595, 0.16649073634902117, 4.688943508112517, 0.4603858326691229]","[0.24986586761410792, 0.8208573262653855, 0.12989842243867397, 0.11414490911729189, 1.977770341667704]","[0.38762047168797886, 0.21676369062965384, 0.14508092484513263, 7.882447129499442, 2.8911909544561367]","[1.1204578464520298, 0.22851109575957934, 0.1160076229768669, 8.709699198005435, 2.469382590284119]","[1.009696405268541, 0.7894630459766601, 0.1502594212533425, 7.886054756472313, 2.750640122415749]","[1.1816569919441218, 0.5842129711783635, 0.11889747805896284, 9.629254134899666, 1.568501325741399]","[0.9395438732778636, 0.14357803336782546, 0.15767081589867535, 6.477940148078577, 1.115858205487247]","[1.091365321543268, 1.0878820338401665, 0.129783603830988, 7.882447129499442, 0.888206255502368]","[1.0485962386571497, 0.9392984210994116, 0.12408903444021946, 8.888390713976651, 1.2970703482572932]","[2.4166095413867947, 0.22851109575957934, 0.1160076229768669, 8.14004682615475, 2.469382590284119]","[2.3142392865813184, 1.4699969126244867, 0.10962137109710504, 7.814069357157985, 0.5079745912159841]"
"[0.2853168754545338, 1.3533699284155218, 7.6607742704635085, 1.0831657493773812, 0.48675520999092775]","[3.9262866413209716, 4.86218265911289, 7.130250437809631, 9.230850990393124, 0.20647771436307172]","[0.22045242600074902, 5.724747304250667, 1.6802820605013427, 2.2357347266378844, 1.3331329473783646]","[1.580652697676698, 8.816023534296317, 7.538949048440016, 0.12352283387644318, 0.558672203982706]","[2.4377421418112553, 0.850937146002521, 0.1334258349313728, 0.6175699655878566, 0.922089422510197]","[5.426667864860179, 3.792645233307873, 0.12491338190521394, 1.859933375718427, 0.44104580082338307]","[1.5041799425132352, 0.8399766556849623, 0.10141981133500552, 0.41269620821930875, 4.007396772907587]","[0.6094468899955091, 1.9896394588407842, 0.24646688712735795, 0.42184551323063263, 1.5284650043130885]","[7.881979075750354, 0.2218442373747544, 0.16660321671256514, 0.20661210177491485, 0.9791256194831315]","[0.34304346132018687, 0.1260960234192838, 0.16562209779882708, 0.6055911940232948, 1.5219344621920339]","[0.5020146471201132, 0.7984435226047876, 0.3219468139468068, 0.17705057120824758, 1.7600212626952612]","[0.6333323000343752, 0.12898411695212975, 0.11690832605408198, 8.090785023872465, 1.1060975853983808]","[0.4203117565278268, 0.12558530889344485, 0.2646087739624049, 0.11801737921338729, 0.8416950102696843]","[1.009696405268541, 0.9726613359947424, 0.10882886139048414, 4.586647365332409, 4.339257330015329]","[2.531065577610027, 0.7158082456063357, 0.2873804239045461, 6.91567996246891, 0.836205985658157]","[1.4278280991362007, 0.20710180729845803, 0.14508092484513263, 0.6660621573403966, 1.5148607923256245]","[1.2601932868612253, 0.20851450467760632, 0.15767081589867535, 8.975268825333744, 1.4163949259240445]","[1.0600542137198825, 1.135281856456853, 0.2513714675947213, 8.14004682615475, 1.8000409881233608]","[1.0750561994720051, 1.715805691793134, 0.1250537345990386, 7.642054207912501, 1.5219344621920339]","[0.965862436824547, 0.2528170024557479, 0.10242196082662648, 8.946913705858927, 1.4530748614269025]","[0.8283351027766341, 0.9392984210994116, 0.10616665346001407, 8.249794131668999, 0.9508155764770214]","[1.0317638131602498, 1.9858891648238066, 0.1504276375181189, 9.405814842631715, 0.5533728194100722]","[1.1647228325715941, 0.11594533682797023, 0.11899197584723524, 8.888604304378713, 0.5533728194100722]","[1.4278280991362007, 0.10767754670180818, 0.12724244582222535, 7.891898443498677, 1.476266740314561]"
"[0.14484497314856357, 0.21430123371970283, 0.2607240071423372, 0.5621130609147673, 1.9389381214877663]","[0.578986434674873, 0.20320510123567057, 3.6097843108799355, 1.2171409471089247, 1.1788999227382144]","[7.596733699595981, 3.255942500764876, 4.726764843256152, 0.19807243196429022, 0.41234627596049733]","[0.5237170146500255, 2.5332826706360105, 0.6073499349871322, 0.7927496149056532, 2.7062215098040725]","[0.19039544703743508, 0.13767114309547307, 0.16562209779882708, 0.10234680013569032, 1.8523504999440084]","[0.5861600331468064, 0.800989153777181, 0.308543584320657, 0.1240667471900075, 1.2106298381939535]","[0.9702884004793847, 0.14654343705262227, 0.3084147143219716, 0.20661210177491485, 0.40056195645883597]","[2.30178301712348, 0.8208573262653855, 0.1779244094249341, 4.800833642801152, 3.5316218555369954]","[2.30178301712348, 0.8208573262653855, 0.1779244094249341, 4.273399287099145, 0.836205985658157]","[0.3773954187541551, 0.9460449644583746, 0.10293074731268233, 0.7821275629159029, 1.6564504393484945]","[0.3972450324781357, 0.20339229308820544, 0.11709175299259583, 0.5212394032045025, 1.8302615018372919]","[2.30178301712348, 1.4525341084912828, 0.2032187629110109, 0.21752290395428944, 1.452565767304273]","[2.8192638633577314, 1.9295513648929643, 0.1138784191517907, 8.888390713976651, 4.039537090684556]","[0.3697925332116408, 0.8945597538467529, 0.13865044988090297, 9.155707398306566, 2.7819111690126244]","[1.2761278101079974, 0.15108435098867595, 0.1427019958770357, 6.038580177814118, 2.71020419796159]","[2.101091580293324, 0.22851109575957934, 0.16649073634902117, 4.688943508112517, 0.520812738100541]","[0.8809094039324429, 0.14856275218737128, 0.12636597331997937, 7.757807322473398, 1.115858205487247]","[1.3304151139753277, 2.279215471726097, 0.11323080968302547, 8.14004682615475, 1.6564504393484945]","[0.6926750578249468, 0.12898411695212975, 0.1191674440411457, 7.678439266558742, 2.954945336655917]","[1.2363010137213275, 2.045805525514597, 0.1160076229768669, 6.552638539102301, 1.1282093635097976]","[1.4278280991362007, 0.762209025081708, 0.21459528466511862, 7.485640155721024, 1.355571786835744]","[1.8375649147636133, 0.8082271110729863, 0.12670799268092062, 8.14004682615475, 0.4250066224730533]","[1.3496341874349542, 1.7287918020315631, 0.11327457425570525, 8.132247200097938, 0.7443568256955787]","[2.3142392865813184, 2.279215471726097, 0.11826078817089053, 8.458748840415502, 0.5533728194100722]"
"[0.26890830495188806, 3.4143185559948215, 0.18724162933474858, 0.6050585964216798, 0.9763500523062676]","[3.123626972761868, 0.5022581079053058, 1.8044191991221432, 0.8320651310776734, 4.0418360695082525]","[0.8353193049516262, 0.5646250653100242, 1.2588949269247036, 1.7595301274668236, 0.9842536343681383]","[0.271615212396523, 4.781823100334644, 0.22865813907096166, 0.364426022165103, 1.2946610767901372]","[4.824613874430735, 0.334268644091284, 0.7011836583464072, 0.1343850151385519, 0.7643034382574486]","[3.3490285542936937, 0.1952241038813486, 3.6097843108799355, 8.803127315999065, 0.2707414759541734]","[2.6395146093380473, 0.1877725665536756, 0.10293074731268233, 4.800833642801152, 4.007396772907587]","[1.302706965746331, 0.13178754825980132, 0.17924622978722038, 0.12160982615365895, 0.888206255502368]","[0.31925345150773304, 0.7984435226047876, 0.13865044988090297, 0.10571060099699821, 4.0738618725867335]","[0.1387572272830043, 0.8427849677189336, 0.2071055914767988, 0.5298825847221192, 1.5219344621920339]","[0.5174636473181573, 0.42536870916857134, 0.13865044988090297, 0.16185152687574125, 2.274191628317022]","[0.47885545508715327, 0.1724537784385997, 0.15644201053077403, 4.527472263665456, 3.80925023905027]","[0.4203117565278268, 0.13826381826804002, 0.10111802721958782, 0.1240667471900075, 0.7974798132434472]","[1.1026009161770869, 1.8126827427154044, 0.1198504087671068, 0.5886170854594788, 2.099872046450723]","[0.8765692213359363, 0.13659778107394213, 0.12108438845299137, 7.924599563931389, 2.274191628317022]","[0.965862436824547, 0.14009507803059595, 0.1207386204006323, 8.888390713976651, 2.742389641028147]","[1.0678521606051505, 0.93150023379092, 0.11899197584723524, 8.167305980146581, 2.210258362311188]","[1.262665233897242, 0.2074670542581852, 0.1286882567536407, 8.14004682615475, 0.4603858326691229]","[1.0666811441189814, 0.9392984210994116, 0.1160076229768669, 8.14004682615475, 1.0102541493600015]","[1.2478804725064083, 0.1316176726221985, 0.1887909924469977, 7.757807322473398, 0.4459438351343558]","[1.4278280991362007, 0.9175227789007001, 0.10854232449247843, 5.9523479150367375, 1.003194034982776]","[1.273672925992638, 1.2727091542826088, 0.1023298680220072, 9.185921875093978, 1.0102541493600015]","[2.289002814232474, 0.10821138527998105, 0.11796998205201653, 7.979344058417434, 0.5533728194100722]","[2.3066625203371203, 0.10301149339480231, 0.1396746165820475, 8.364163947216953, 0.45851651653448516]"
"[0.8204368038644857, 0.5646250653100242, 0.16562209779882708, 0.14943392228940833, 1.8523504999440084]","[1.6941206822659158, 0.5079560042083417, 0.4181815793979039, 0.5372175033798976, 4.0418360695082525]","[0.40304669102958485, 3.2529245756484535, 1.5607578635522974, 0.1432936190042113, 0.47476593573069614]","[7.732871151909886, 3.390093440449496, 0.6073499349871322, 0.19730540700100277, 0.40056195645883597]","[0.743102458492446, 0.14770266274966345, 0.18178547923402635, 0.19807243196429022, 0.888206255502368]","[7.881979075750354, 5.435360511507359, 2.8345719751429446, 0.4540757764849195, 0.5238648088687204]","[0.3844564499576445, 0.20320510123567057, 0.11180298305631164, 0.12754307732361553, 2.2428258761409454]","[0.40077687218800867, 2.0792350962595783, 0.2071055914767988, 4.720619148644856, 3.286849512058121]","[0.3225229294813705, 1.3248373823679134, 0.23879363691002878, 0.21752290395428944, 1.4702533839839647]","[0.6488076548918017, 0.16404900832318783, 0.269175694715139, 0.46783846689154074, 0.8416950102696843]","[1.1450882406878933, 0.9227829956829269, 0.279276912992059, 8.309550467197777, 2.563382322320107]","[1.2510804050728348, 0.9227829956829269, 0.279276912992059, 8.319145345047005, 2.449444980087657]","[0.3225229294813705, 0.14654343705262227, 0.1718564637043972, 0.4680349661494623, 1.4930682086125162]","[2.3030647627189276, 0.16323377875589323, 0.28423483620182843, 8.803127315999065, 0.2707414759541734]","[2.2478778107105377, 0.8082271110729863, 0.27766382508831694, 4.800833642801152, 0.5056629887181687]","[1.009696405268541, 0.9561956667093339, 0.1080681606864502, 8.14004682615475, 1.8000409881233608]","[2.4377421418112553, 1.6300012648909248, 0.13865044988090297, 4.800833642801152, 0.4459438351343558]","[0.965862436824547, 0.7108533895055243, 0.11039574620070322, 9.629254134899666, 2.3206802718225394]","[1.2939440057941831, 1.8390456979681509, 0.11173818018364005, 8.83367892955308, 1.3228899042261375]","[1.1647228325715941, 0.7071993183993536, 0.11899197584723524, 9.480269528627323, 1.4193197254663814]","[1.273672925992638, 1.2727091542826088, 0.11977050893549465, 8.14004682615475, 1.0102541493600015]","[1.1107127549800873, 0.10651337767518458, 0.11899197584723524, 8.624162336994189, 0.5533728194100722]","[1.3923895596271603, 0.15108435098867595, 0.18433073580906956, 7.16648669468951, 0.4459438351343558]","[2.3142392865813184, 0.11594533682797023, 0.14929061941708546, 8.94931011291103, 0.5533728194100722]"
"[1.9908962501505878, 0.7985199197142981, 2.485184198377566, 0.1527240924563185, 0.2707414759541734]","[2.4377421418112553, 0.14654343705262227, 0.12491338190521394, 0.20661210177491485, 2.9922928121133636]","[0.47885545508715327, 4.781823100334644, 0.6073499349871322, 0.7432213252734768, 4.2382790134162915]","[0.5237170146500255, 4.696593729826329, 4.726764843256152, 0.7927496149056532, 2.850622155008719]","[1.1202926028143254, 0.850937146002521, 0.11257453325405746, 0.6175699655878566, 1.0059699757889085]","[0.3773954187541551, 0.16323377875589323, 0.11709175299259583, 0.2488008811580614, 1.6564504393484945]","[2.2979332933569485, 6.116663797706602, 0.18694569770245026, 0.12352283387644318, 1.058594618452131]","[1.0995505356293722, 0.8246196463294216, 0.10129638942431914, 0.7927496149056532, 3.092481934289812]","[1.302706965746331, 0.13178754825980132, 0.17924622978722038, 0.12160982615365895, 0.888206255502368]","[0.3967261908552883, 0.16340035220680982, 0.10631149257278845, 0.3329422521019877, 1.8523504999440084]","[2.082019525396215, 0.15553594607013563, 0.18332899258608104, 4.800833642801152, 0.4889145805815075]","[1.090611688716973, 0.16323377875589323, 0.279276912992059, 8.090785023872465, 2.419768185121228]","[1.3126355578105589, 0.8043071137141019, 0.2945986494228896, 9.238683680399884, 2.469382590284119]","[0.6827527027689343, 0.20710180729845803, 0.14508092484513263, 0.1530870340770101, 1.5148607923256245]","[0.36699922929499923, 1.4911601333420006, 0.1113479356421802, 0.6660621573403966, 2.496034490088138]","[1.090611688716973, 0.762209025081708, 0.2249220943248238, 8.975268825333744, 2.4297031068845674]","[1.4408288965819007, 1.0878820338401665, 0.27766382508831694, 9.426379109137285, 0.888206255502368]","[0.6926750578249468, 0.12898411695212975, 0.1191674440411457, 7.678439266558742, 2.954945336655917]","[1.1740110306010318, 0.8911586892909319, 0.14290337008246567, 5.355704051988662, 0.8177213657255792]","[1.0930510506643827, 0.9392984210994116, 0.14508092484513263, 8.295159800362521, 2.6065534260684777]","[1.3476041613245335, 0.15108435098867595, 0.15578095318995105, 7.882447129499442, 0.42371044300919647]","[1.4163476378613271, 0.15108435098867595, 0.1286882567536407, 7.882447129499442, 0.5533728194100722]","[0.9381831949567392, 0.14482545593995397, 0.20648321227281302, 9.940001400019664, 1.1798203054316123]","[2.3142392865813184, 1.9652011432184877, 0.12357879769592636, 7.979344058417434, 0.5533728194100722]"
"[0.10199323673110439, 9.937248741572983, 8.752329419079858, 0.18259772024603296, 0.6424910527687006]","[0.9281223853292905, 0.14887345586946923, 0.6641331273329982, 0.2979672936700182, 1.1698067134534582]","[0.2532448370381928, 0.20678327456923298, 0.7084950145814677, 0.6684966015979427, 1.292897410005336]","[2.1901486666365484, 4.680615989560768, 3.6097843108799355, 0.1302034452431061, 1.2946610767901372]","[0.3514327126258193, 0.3655446406514631, 4.1942167628264775, 8.803127315999065, 1.1687191042913108]","[0.22580793041190195, 4.369563879117422, 0.16562209779882708, 0.1240667471900075, 0.9842536343681383]","[1.1202926028143254, 0.44314763630817633, 0.10293074731268233, 0.1302034452431061, 1.1374616128203119]","[0.2930105299746911, 4.531315764228639, 0.10293074731268233, 0.12756314695062368, 1.5749791019582375]","[2.9524796072737347, 0.1260960234192838, 0.2841652503661441, 0.1343850151385519, 0.2707414759541734]","[0.40081107609855016, 0.952309835000113, 0.11820930903781182, 0.40044354326260445, 1.484916923684367]","[2.8192638633577314, 1.6537422411671412, 0.11138814504881636, 8.888390713976651, 4.039537090684556]","[0.6291889588897523, 0.952309835000113, 0.2821263183584806, 0.46988742793400406, 1.4072275843626192]","[1.0832440445948504, 1.0276212264680171, 0.2445789807554959, 7.751804631898352, 2.227836270383835]","[0.24986586761410792, 0.14567038995186982, 0.1502594212533425, 0.10735704548975465, 2.1529817488679415]","[0.24986586761410792, 0.14567038995186982, 0.1502594212533425, 0.1059592867766395, 2.563382322320107]","[1.0777512154705688, 0.8833597534668767, 0.23586869875364927, 0.7039955217822325, 2.4458469526738695]","[1.3339949338100041, 1.5055001433298651, 0.10144067367666022, 0.7494395734640944, 0.2337184240717338]","[1.009696405268541, 0.659139860523827, 0.1431122490719463, 7.575907578523216, 2.649381650684265]","[1.3136609553285463, 1.541461518718358, 0.10908079763738691, 7.73419713329464, 1.3999196618861922]","[2.2692161629052228, 1.0871646081060866, 0.1023298680220072, 3.9000652740468955, 0.5533728194100722]","[1.3476041613245335, 0.8817734002562778, 0.1286882567536407, 7.826564518047383, 0.947632205612277]","[2.3142392865813184, 0.10436361650125185, 0.10962137109710504, 7.979344058417434, 0.5533728194100722]","[1.3419440430666074, 0.805128215375343, 0.10071685488376492, 7.914726470216434, 0.47295855821337124]","[1.8872134422933815, 0.7860816202657334, 0.10071685488376492, 7.979344058417434, 0.6193196396164711]"
"[0.8865805705343257, 0.1135447256042641, 0.351615947072385, 0.4517283627308637, 0.14492449331002435]","[0.39256675917459855, 0.149775331879491, 1.6648215497837082, 3.9980594515707546, 0.4332486347232539]","[0.8204368038644857, 0.5646250653100242, 0.16562209779882708, 0.15709073861238826, 0.326587582017532]","[0.271615212396523, 1.9435588251540385, 0.2063461185637916, 0.364426022165103, 0.7897671515809928]","[5.856613104258357, 4.145964356380252, 3.675801382485378, 2.2954861471069474, 0.5343000383285026]","[0.1682671262286996, 5.286742532191126, 0.10293074731268233, 0.1343850151385519, 1.8523504999440084]","[0.47885545508715327, 0.850937146002521, 0.11257453325405746, 0.447500093533255, 1.739258672888839]","[1.1613453485493215, 0.9670427917504799, 0.2783787112784309, 8.500631718430899, 2.227836270383835]","[1.090611688716973, 0.9830675850683873, 0.15757083314920195, 0.7425297179312298, 1.8523504999440084]","[0.3011864832379628, 0.11868037467636686, 0.17265129276741725, 0.7682720712387476, 4.203879494374288]","[0.8644496213514743, 2.243899836874174, 0.141535089504579, 0.1444594864090543, 2.469382590284119]","[3.1983848281094924, 0.14654343705262227, 0.2692794736858227, 4.553220979948743, 1.5624989861454937]","[1.0600542137198825, 0.8020070755475053, 0.10201854128441516, 9.739774142860847, 2.400893249338377]","[1.302706965746331, 0.8208573262653855, 0.17924622978722038, 0.12160982615365895, 0.888206255502368]","[0.6718352331526745, 1.296125496037756, 0.14835985125370738, 0.12847764059874717, 2.1529817488679415]","[0.3980517046449129, 0.7943589234597442, 0.20770644669854196, 8.366913030119862, 1.7045277107297772]","[0.4153057170625868, 0.8196477054929058, 0.15540923307841042, 8.781743623251085, 3.117161433441052]","[1.2699260681401767, 0.7158082456063357, 0.11709175299259583, 9.629254134899666, 1.6084080515726937]","[1.0600542137198825, 1.6300012648909248, 0.10913449815725731, 9.701167491192988, 1.6869743352302855]","[1.2363010137213275, 2.279215471726097, 0.1160076229768669, 5.121226846822036, 1.1282093635097976]","[0.965862436824547, 0.2528170024557479, 0.11847459010208594, 8.946913705858927, 1.4530748614269025]","[1.9814340102444277, 0.7860816202657334, 0.10071685488376492, 7.914726470216434, 0.4372534637832996]","[1.469969515516091, 1.2957617282996359, 0.14788375210726587, 7.123190126213097, 1.5546040593125818]","[2.3142392865813184, 0.10436361650125185, 0.11668030174680538, 9.06711083778039, 0.9220640193915028]"
"[0.3833713971738102, 4.484048350948459, 0.11180298305631164, 1.5191066104103674, 4.2382790134162915]","[0.3773954187541551, 0.20981355132661322, 2.1592076796310122, 0.42184551323063263, 1.5148607923256245]","[0.26835926479254607, 0.14314600693877255, 9.592280560039393, 1.619842556486787, 1.979565623550171]","[0.12062950486245987, 0.8246300278283974, 1.2989263506470896, 0.7106635921002664, 0.6989829412138127]","[0.4127877735464181, 1.9843195149518176, 0.7011836583464072, 0.6175699655878566, 0.922089422510197]","[0.9702884004793847, 0.1872326100270872, 0.10293074731268233, 4.800833642801152, 4.007396772907587]","[0.19039544703743508, 1.79412175854714, 0.29610064912684786, 0.34396008646112086, 3.3274114266761265]","[1.1729027104134808, 0.850937146002521, 0.2841652503661441, 8.803127315999065, 0.888206255502368]","[3.1661494008798376, 0.11367104715601191, 0.28452649745115055, 1.549547954865619, 4.022523569747683]","[4.588814874425366, 0.1872326100270872, 0.7401604601434036, 0.1343850151385519, 4.2382790134162915]","[0.40077687218800867, 1.8126827427154044, 0.10681683542827348, 8.220510565285796, 2.840348692781914]","[1.2196016264132006, 0.13413821320639055, 0.16649073634902117, 4.688943508112517, 0.4603858326691229]","[1.0600542137198825, 0.7668632731654188, 0.1055134506584678, 8.803127315999065, 2.400893249338377]","[0.9395438732778636, 0.13413821320639055, 0.16649073634902117, 4.688943508112517, 0.4603858326691229]","[1.1401961651187469, 1.6867195448510355, 0.12291909665703489, 0.22072090026767388, 1.7036876223486448]","[1.385444530310681, 0.22851109575957934, 0.11621682500786125, 8.14004682615475, 2.469382590284119]","[1.0930510506643827, 0.27029172011710734, 0.11899197584723524, 8.295159800362521, 1.5148607923256245]","[0.7650299857178655, 0.22851109575957934, 0.1286882567536407, 8.888390713976651, 1.6564504393484945]","[1.9814340102444277, 0.8459129057327215, 0.14092526742985106, 6.592211525302817, 0.4459438351343558]","[1.009696405268541, 0.9392984210994116, 0.10669440906878094, 8.295798018960632, 0.9508155764770214]","[2.1591221894710655, 1.0161075373542152, 0.14092526742985106, 8.285267846036898, 0.5533728194100722]","[2.4050891616438737, 0.7464444822430079, 0.10910951396871907, 9.185921875093978, 1.054650002124142]","[1.0930510506643827, 0.805128215375343, 0.11374089428041602, 7.914726470216434, 0.4611995100840146]","[1.4163476378613271, 0.15108435098867595, 0.13316482312169997, 8.40010016712994, 0.47302083620192636]"
"[0.9281223853292905, 0.149775331879491, 1.6648215497837082, 8.455871843287664, 1.1698067134534582]","[1.9908962501505878, 0.5241354183098363, 0.10293074731268233, 0.14943392228940833, 2.0754942340654297]","[0.24521247146647368, 0.25918103559142724, 3.148789204056689, 4.338013780460065, 0.2832524965998531]","[0.6094468899955091, 3.72073906036655, 2.6985070805826847, 0.14038960863549016, 0.9842536343681383]","[0.5010588012092548, 0.15766891968316077, 0.10767093351597003, 1.2975748530715117, 4.2382790134162915]","[0.6333323000343752, 0.850937146002521, 0.11138814504881636, 0.21752290395428944, 1.5148607923256245]","[0.24986586761410792, 0.1260960234192838, 0.2063461185637916, 0.1389713472236999, 1.841318490004425]","[3.3490285542936937, 0.9227829956829269, 0.279276912992059, 8.090785023872465, 2.324323319600412]","[0.6094468899955091, 0.20121145083015798, 0.12400027506423211, 0.5077246901331499, 1.5148607923256245]","[0.34437926169238764, 0.37679065693920333, 0.11274747610493399, 0.5298825847221192, 0.6087555587323733]","[1.070926477032222, 0.7870626665803934, 0.1529277178007039, 4.273399287099145, 0.231696132848365]","[2.2508589755268402, 1.218437472005781, 0.11756812036738058, 4.321550979208618, 2.227836270383835]","[3.3490285542936937, 1.7169287211376514, 0.28243530522662186, 9.704706826640056, 0.2707414759541734]","[2.594533699038949, 0.14357803336782546, 0.12041262380126735, 8.167305980146581, 1.115858205487247]","[2.531065577610027, 0.9266874913351255, 0.3266679620872112, 7.882447129499442, 0.8049259398173458]","[1.1204578464520298, 1.0944206655774453, 0.11538556107141036, 7.080061117166494, 0.888206255502368]","[1.0678521606051505, 0.9670427917504799, 0.14508092484513263, 8.888390713976651, 1.5219344621920339]","[3.2958995773014794, 0.7288264567545726, 0.2940573573346324, 8.723621553157237, 0.4459438351343558]","[1.8240877220275382, 1.006297268537535, 0.14326827646988016, 3.9744834946749314, 1.3228899042261375]","[1.0485962386571497, 0.9392984210994116, 0.13703401181812902, 8.888390713976651, 1.0102541493600015]","[1.2363010137213275, 1.2119668668465746, 0.15311512996001722, 6.1874851201882635, 0.5153861380512034]","[1.3281062730285844, 0.15108435098867595, 0.24694295125171487, 8.14004682615475, 0.5527814963059112]","[1.7538679968673112, 0.7108533895055243, 0.10174823474900643, 9.751045058222955, 1.115858205487247]","[2.3084211961506664, 0.9392984210994116, 0.15653361707072827, 7.882447129499442, 0.5882933023069129]"
"[5.856613104258357, 1.6741619447049487, 0.521415282551515, 4.4268491350747405, 0.23577674913247998]","[2.1901486666365484, 0.5938747976954198, 0.7011836583464072, 0.1218161839423895, 4.0418360695082525]","[7.2874542261764015, 0.8490587449036539, 0.7495258190860432, 9.681941943949937, 3.238813733541762]","[7.596733699595981, 3.8171283667375717, 0.11180298305631164, 1.859933375718427, 0.44104580082338307]","[1.2266944237520425, 1.099453616457347, 0.16694161042606517, 0.19807243196429022, 0.888206255502368]","[0.2930105299746911, 2.293213676780655, 0.21950893040145852, 0.14973562341707747, 7.5419534457959525]","[0.3728553509654212, 0.9904800138650278, 0.10293074731268233, 0.12407025365369753, 0.5716834548512096]","[0.34437926169238764, 0.12286026531931264, 0.11138814504881636, 0.8017894162046795, 4.203879494374288]","[0.35361485234799905, 0.634604186028781, 0.2137104193604684, 0.7927496149056532, 1.1799325178182243]","[3.3490285542936937, 0.8334358171615387, 0.28452649745115055, 0.7821275629159029, 0.2707414759541734]","[0.25049927047616233, 0.9608156983619099, 0.23996471669225722, 0.6434809829685774, 4.702360358702876]","[0.47885545508715327, 1.2340105594121444, 0.15278241928214958, 4.756316077380204, 2.227836270383835]","[0.38762047168797886, 1.8126827427154044, 0.12742339636765687, 0.6660621573403966, 2.469382590284119]","[0.6827527027689343, 0.6478585306404633, 0.14508092484513263, 0.14918163023476871, 1.5148607923256245]","[1.009696405268541, 0.762209025081708, 0.11298424319968702, 8.975268825333744, 2.6054966250785823]","[2.4377421418112553, 0.20846346037840766, 0.1378928218184321, 7.882447129499442, 1.5148607923256245]","[0.8976164191933077, 0.13413821320639055, 0.10189070526178554, 7.451236257645998, 4.007396772907587]","[1.089599279462275, 0.14009507803059595, 0.10669440906878094, 9.363006713067255, 2.498090195787541]","[1.1185494457350051, 0.9494616283010846, 0.12643993985694296, 8.14004682615475, 0.4459438351343558]","[2.3066625203371203, 0.7740283296922599, 0.23881267186486452, 8.97019209018238, 0.5533728194100722]","[1.334093334953762, 0.1963379304785249, 0.29291561382941395, 8.289910941995576, 1.9134163354456193]","[1.660385154013277, 0.17025263278810088, 0.12601452452805897, 7.882447129499442, 0.5533728194100722]","[0.9430742104266574, 1.0878820338401665, 0.13087124802067612, 7.979344058417434, 0.8145340757152937]","[0.856560987357276, 1.9151114540132617, 0.12997774909566548, 9.766371688208276, 1.1722496543871426]"
